id,x_minimo,x_maximo,y_minimo,y_maximo,peso_da_placa,area_pixels,perimetro_x,perimetro_y,soma_da_luminosidade,maximo_da_luminosidade,comprimento_do_transportador,tipo_do_aco_A300,tipo_do_aco_A400,espessura_da_chapa_de_aco,temperatura,index_de_bordas,index_vazio,index_quadrado,index_externo_x,indice_de_bordas_x,indice_de_bordas_y,indice_de_variacao_x,indice_de_variacao_y,indice_global_externo,log_das_areas,log_indice_x,log_indice_y,indice_de_orientacao,indice_de_luminosidade,sigmoide_das_areas,minimo_da_luminosidade,falha_1,falha_2,falha_3,falha_4,falha_5,falha_6,falha_outros
0,154,169,260124,260136,100,75,27,17,9948,143,1364,FALSE,TRUE,40,80.8,0.23,0.58,0.8,0.01,0.56,0.71,0.15,0.15,0,1.88,1.18,1.08,-0.2,0.04,0.31,125,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1,1121,-186,1789332,1789337,100,-206,9,-194,2240,150,-214,FALSE,TRUE,50,79.79,0.34,0.51,0.71,0.01,0.78,0.83,-0.04,-0.04,0,1.23,0.85,0.7,-0.29,0.03,0.14,115,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2,41,216,2708878,2708939,100,6298,275,134,654634,126,1358,FALSE,TRUE,40,80.87,0.06,0.41,0.35,0.13,0.64,0.46,-0.09,-0.05,0,3.8,2.24,1.79,-0.65,-0.19,1,42,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
3,129,157,86408,86427,100,276,39,26,33858,135,1362,FALSE,TRUE,40,77.48,0.19,0.48,0.68,0.02,0.72,0.73,0.25,0.45,0,2.44,1.45,1.28,-0.32,-0.04,0.82,115,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
4,436,442,4959398,530985,100,63,17,17,6374,116,1356,TRUE,FALSE,70,73.85,0.64,0.38,0.35,0,0.35,1,0.93,-0.07,1,1.8,0.78,1.23,0.65,-0.21,0.21,90,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5,-11,-186,590440,590503,100,-206,198,119,637317,125,1358,FALSE,TRUE,40,76.12,0.06,0.38,0.4,0.12,0.79,0.53,-0.07,0.93,0,3.79,2.2,1.8,-0.6,-0.19,1,45,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
6,39,217,1359602,1359742,100,10276,552,319,1187807,141,1400,FALSE,TRUE,40,62.64,0.06,0.59,0.79,0.13,0.32,0.44,0.47,1.47,0,4.01,2.25,2.15,-0.21,-0.1,1,25,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
7,43,200,696884,696948,100,-206,206,129,626256,125,1358,FALSE,TRUE,40,86.95,0.06,0.4,0.41,0.12,0.76,0.5,0.95,1.47,0,3.78,2.2,1.81,-0.59,-0.19,1,45,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
8,772,777,1436089,1436092,100,11,-229,3,1398,135,1358,FALSE,TRUE,50,84.82,0.86,0.27,0.6,0,1,1,-0.14,-0.14,0,1.04,0.7,0.48,-0.4,-0.01,0.13,111,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
9,41,-186,1505915,1505982,100,6494,315,145,671353,127,1356,FALSE,TRUE,40,100.12,0.06,0.43,0.39,0.13,0.54,0.46,0.16,1.16,0,3.81,2.23,1.83,-0.61,-0.19,1,38,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
